,OFCpost_L,Thal_PuI_L,OFCant_L,Rolandic_Oper_L,Raphe_D,Frontal_Inf_Tri_R,Putamen_L,Vermis_8,Thal_Re_L,Paracentral_Lobule_L,Thal_VA_L,Parietal_Inf_R,Occipital_Inf_R,ACC_pre_R,Thal_VL_R,Vermis_6,Cingulate_Post_R,Thal_PuM_R,Precentral_R,Occipital_Mid_L,Thal_LP_L,Thal_PuL_R,Frontal_Med_Orb_L,SN_pc_L,Cerebellum_Crus2_R
OFCpost_L,1.0,0.419641833354668,0.5072626367980266,-0.26260206918880663,-0.49595087257706894,0.5850860974288868,0.1695609081777993,0.1935403273836505,-0.2700438400224374,0.30708948636895134,0.07037632326864561,0.11442193748487604,0.14293979885947058,0.5412851690319358,0.29728973392217994,-0.08150384099282469,0.1545602026397154,0.09569217345800785,0.10836331389928824,-0.043079557718071516,-0.04111184238755649,0.17774235980876063,0.5696529120219819,0.017120643923787003,-0.08846955736295484
Thal_PuI_L,0.419641833354668,1.0,0.1756271382073384,0.04663248553549047,-0.7173118178433943,0.2760997533912426,0.29397759053886263,-0.09879860508746817,-0.028231523750743507,-0.006332139313344547,0.6219048373356322,-0.38974107117635753,-0.3958742124874113,0.23283739186973834,0.2789482512653576,-0.11988989272097135,0.12543306399298296,0.5482503851112325,-0.23377790448203006,-0.6368775215922259,0.5912087139161342,0.5476114160467861,0.07352070511203079,-0.015184886557621494,-0.09640559404484807
OFCant_L,0.5072626367980266,0.1756271382073384,1.0,-0.16620077752769713,-0.22929155270046522,0.47440607066765994,0.15475920904372786,0.141689825026043,0.02351198236617781,0.1764904535429444,0.04551350313655222,0.09865566825299284,0.22850411124558306,0.5745468824792711,0.3442442320211532,-0.14986455842704538,0.13430641068974025,0.07234431445538016,-0.021298417407207094,0.0714236237346494,-0.010574071728216642,0.12143834315494637,0.43582301626256204,-0.00471441709690713,-0.05925824452691076
Rolandic_Oper_L,-0.26260206918880663,0.04663248553549047,-0.16620077752769713,1.0,0.16005808811949004,-0.05806174692593734,0.13519849529170583,0.07273225662635618,0.1758228409171754,0.1680207151574661,0.2985749003636959,-0.23817022206441796,-0.046510952705316695,-0.2601897402371841,0.022878785199066255,0.19967807879894872,0.09676473747790827,0.09161966974065053,-0.16544136125404532,0.05565808836647684,0.20857973328586632,-0.09565775090444109,-0.03444198372077627,-0.003993060895989251,0.17881477513274666
Raphe_D,-0.49595087257706894,-0.7173118178433943,-0.22929155270046522,0.16005808811949004,1.0,-0.3240334919236533,-0.22996376589633727,0.09799309653276021,0.06453924217607067,0.09611259659480323,-0.4335911780611851,0.40984861107933657,0.3821164113977348,-0.31065044588680807,-0.5383721506473492,0.10483900069718685,-0.11347801852067096,-0.6829384282706296,0.36266577358534735,0.6344992223959323,-0.42233446112405604,-0.5579659992392855,-0.0009551265391655684,-0.021241498129357064,0.05398848606483009
Frontal_Inf_Tri_R,0.5850860974288868,0.2760997533912426,0.47440607066765994,-0.05806174692593734,-0.3240334919236533,1.0,0.19586372640412733,0.4549728109184576,-0.1255452457234907,0.21354140937917368,0.14470193680078847,-0.0650291215091985,0.3264049704788744,0.7321411284149542,0.5619260616864836,0.1156495954947183,0.47733043157965105,0.23790533588232893,0.19547207448589157,-0.037211943555538446,-0.030432094382920105,0.38829842817578947,0.6187843356807022,0.16023306656150532,0.1502483252464012
Putamen_L,0.1695609081777993,0.29397759053886263,0.15475920904372786,0.13519849529170583,-0.22996376589633727,0.19586372640412733,1.0,0.09478695230232702,-0.01319673769210436,0.06436181994493118,0.12819429585462105,-0.10705700064873327,0.09951422754778937,0.15580929145929953,0.46806677210253916,0.27786000996584864,0.171027617143429,0.25553933695555947,-0.0677183319090596,-0.1654649390551777,0.008894681999577785,0.3034904159062948,-0.07983824449795787,-0.2963737090850662,0.09512817550608087
Vermis_8,0.1935403273836505,-0.09879860508746817,0.141689825026043,0.07273225662635618,0.09799309653276021,0.4549728109184576,0.09478695230232702,1.0,-0.05533976681083181,0.3467879447066439,-0.18158422711702815,-0.04505638799094639,0.5651447108964838,0.2035441068799304,0.1418593133919781,0.26041601005078424,0.18988369275351935,-0.0993105506976768,0.3878243128063553,0.3456744363512179,-0.2763505539630629,-0.2340486750895372,0.5201406795000691,-0.1946706137813561,0.5269774923785642
Thal_Re_L,-0.2700438400224374,-0.028231523750743507,0.02351198236617781,0.1758228409171754,0.06453924217607067,-0.1255452457234907,-0.01319673769210436,-0.05533976681083181,1.0,-0.3661153859076703,0.28232063416998765,-0.09686470191484974,-0.04238791829546029,0.04204158480525699,0.017685870870624242,0.030686293729173173,0.08375845985671901,0.19450273991348518,-0.18962080643463658,0.04524394458703706,0.3205861921706311,0.03182600196154878,-0.08316681560285327,0.01411200259083469,-0.1638330443355879
Paracentral_Lobule_L,0.30708948636895134,-0.006332139313344547,0.1764904535429444,0.1680207151574661,0.09611259659480323,0.21354140937917368,0.06436181994493118,0.3467879447066439,-0.3661153859076703,1.0,-0.14745116204184164,0.3457535675402912,0.2740116083368901,-0.1349854807388482,-0.1033206559703755,0.08540946493977351,0.07475650510848697,-0.33456451718582353,0.47723111580965516,0.14972055920954158,-0.46997119097327,-0.26586575286550745,0.38675805605547586,0.13790741231142623,0.35419751110114217
Thal_VA_L,0.07037632326864561,0.6219048373356322,0.04551350313655222,0.2985749003636959,-0.4335911780611851,0.14470193680078847,0.12819429585462105,-0.18158422711702815,0.28232063416998765,-0.14745116204184164,1.0,-0.45125154999248374,-0.3574413419224858,0.19168693354982108,0.28349208948115234,0.09886885272344577,0.32468618676907385,0.5322693175393669,-0.40607596919687233,-0.3892080268612509,0.7161650619061988,0.47736797563305833,-0.043504386975442295,0.11362394871879233,-0.14166926982270384
Parietal_Inf_R,0.11442193748487604,-0.38974107117635753,0.09865566825299284,-0.23817022206441796,0.40984861107933657,-0.0650291215091985,-0.10705700064873327,-0.04505638799094639,-0.09686470191484974,0.3457535675402912,-0.45125154999248374,1.0,0.1997474727113598,-0.014428202706675641,-0.4036743995239539,-0.1864380888813126,-0.14495168789797233,-0.6769319939963258,0.6472772812037435,0.5062326983713389,-0.5655960328071135,-0.43178170776205754,0.30580214326149213,-0.04245993883701899,-0.33923026953336033
Occipital_Inf_R,0.14293979885947058,-0.3958742124874113,0.22850411124558306,-0.046510952705316695,0.3821164113977348,0.3264049704788744,0.09951422754778937,0.5651447108964838,-0.04238791829546029,0.2740116083368901,-0.3574413419224858,0.1997474727113598,1.0,0.31103718977927597,0.05884423878987411,0.18763761292539655,0.10240847038392502,-0.2509566559164693,0.273922460957534,0.5165580849073894,-0.41314973323046683,-0.2225014628972457,0.510461977261008,-0.08242673298788951,0.3390121698254031
ACC_pre_R,0.5412851690319358,0.23283739186973834,0.5745468824792711,-0.2601897402371841,-0.31065044588680807,0.7321411284149542,0.15580929145929953,0.2035441068799304,0.04204158480525699,-0.1349854807388482,0.19168693354982108,-0.014428202706675641,0.31103718977927597,1.0,0.5754299503134118,0.03544919682273688,0.4132805331223478,0.28235471405341406,-0.07332270495189026,0.10466511141636119,0.17948184686963792,0.4400273283950523,0.5238497770716914,0.08487245399213915,-0.22346834075546174
Thal_VL_R,0.29728973392217994,0.2789482512653576,0.3442442320211532,0.022878785199066255,-0.5383721506473492,0.5619260616864836,0.46806677210253916,0.1418593133919781,0.017685870870624242,-0.1033206559703755,0.28349208948115234,-0.4036743995239539,0.05884423878987411,0.5754299503134118,1.0,0.3071498484123194,0.4960804633207494,0.6814753706969946,-0.30993805257458024,-0.2830940110992517,0.20320557382102097,0.6022713288450039,0.07016483404262223,0.17485078036902482,0.17683591616773497
