,SN_pr_L,Rectus_R,Frontal_Sup_2_L,Heschl_L,VTA_R,Vermis_9,SN_pc_R,Occipital_Sup_L,ACC_sup_R,Thal_VL_L,Pallidum_R,OFClat_L,Vermis_3,OFCpost_L,Cerebellum_6_R
SN_pr_L,1.0,-0.3531809516074763,0.5397172383213221,-0.30228461964982417,-0.37143905487864953,0.49685848199282034,-0.43395394874784826,0.15262646419349113,0.5049417836403485,-0.027422576466262807,0.10289540616729559,-0.6107104172941377,0.21854120790151657,-0.5417037590533746,0.5572597101957892
Rectus_R,-0.3531809516074763,1.0,-0.5528417606757616,0.3606023682810097,0.5992427193697392,-0.32015898000047954,0.4190949340357113,-0.07606804489478541,0.024472839069047823,0.22365621502549732,-0.14144408574480827,0.681105412877829,0.0033306471738938468,0.6173178306483736,-0.6696536530800631
Frontal_Sup_2_L,0.5397172383213221,-0.5528417606757616,1.0,0.01960990044635148,-0.5628659073756684,0.5410033994952196,-0.3893244505441795,-0.004841920670287029,0.18959678876181324,0.15410700503895772,0.1144224587621763,-0.6614204658322418,0.13698781106097194,-0.71780283111185,0.8331819778541641
Heschl_L,-0.30228461964982417,0.3606023682810097,0.01960990044635148,1.0,0.3522546443376517,-0.06302582329100785,0.349956675831791,-0.1872136993573076,-0.3436105744505175,0.5856185822713574,0.1326194732346911,0.5288352584574397,0.15638286766829151,0.3609233011303652,-0.1485968771164758
VTA_R,-0.37143905487864953,0.5992427193697392,-0.5628659073756684,0.3522546443376517,1.0,-0.3505907276698357,0.701351582728425,-0.0849455694006917,0.006738804283569095,0.31706207866881353,0.09123993602280658,0.7253842234763801,0.2389679739724494,0.8091911122046757,-0.6970765109495826
Vermis_9,0.49685848199282034,-0.32015898000047954,0.5410033994952196,-0.06302582329100785,-0.3505907276698357,1.0,-0.22040684694078688,0.08292573238288926,0.16802616327058112,0.15313692406338367,0.31365428387956085,-0.4865161613822643,0.2732145339398587,-0.4101735079834346,0.6245229730356343
SN_pc_R,-0.43395394874784826,0.4190949340357113,-0.3893244505441795,0.349956675831791,0.701351582728425,-0.22040684694078688,1.0,-0.2794452957576401,-0.09105422325799817,0.4071159374962085,0.26054083711014253,0.48776083315543733,0.1944614608946459,0.6712371563605406,-0.47132393430288194
Occipital_Sup_L,0.15262646419349113,-0.07606804489478541,-0.004841920670287029,-0.1872136993573076,-0.0849455694006917,0.08292573238288926,-0.2794452957576401,1.0,0.004028180553701929,-0.1484469732638756,-0.4270039672061796,-0.12633714683971495,-0.13137980329960175,-0.15272041598346361,0.11631633951812906
ACC_sup_R,0.5049417836403485,0.024472839069047823,0.18959678876181324,-0.3436105744505175,0.006738804283569095,0.16802616327058112,-0.09105422325799817,0.004028180553701929,1.0,-0.024672834716986662,-0.04938910717756151,-0.3002600329873626,0.13932779052295866,-0.2020792686378023,0.12348871009024384
Thal_VL_L,-0.027422576466262807,0.22365621502549732,0.15410700503895772,0.5856185822713574,0.31706207866881353,0.15313692406338367,0.4071159374962085,-0.1484469732638756,-0.024672834716986662,1.0,0.40414206371741496,0.22548631006853992,0.4341614390930969,0.29495234802159903,0.07674772018495347
Pallidum_R,0.10289540616729559,-0.14144408574480827,0.1144224587621763,0.1326194732346911,0.09123993602280658,0.31365428387956085,0.26054083711014253,-0.4270039672061796,-0.04938910717756151,0.40414206371741496,1.0,-0.09543817628438374,0.5810685948744435,0.24801588330569685,0.1966227859989996
OFClat_L,-0.6107104172941377,0.681105412877829,-0.6614204658322418,0.5288352584574397,0.7253842234763801,-0.4865161613822643,0.48776083315543733,-0.12633714683971495,-0.3002600329873626,0.22548631006853992,-0.09543817628438374,1.0,-0.004522292153457388,0.7884352219993543,-0.7690527999243407
Vermis_3,0.21854120790151657,0.0033306471738938468,0.13698781106097194,0.15638286766829151,0.2389679739724494,0.2732145339398587,0.1944614608946459,-0.13137980329960175,0.13932779052295866,0.4341614390930969,0.5810685948744435,-0.004522292153457388,1.0,0.22341848005195591,0.1508632922380424
OFCpost_L,-0.5417037590533746,0.6173178306483736,-0.71780283111185,0.3609233011303652,0.8091911122046757,-0.4101735079834346,0.6712371563605406,-0.15272041598346361,-0.2020792686378023,0.29495234802159903,0.24801588330569685,0.7884352219993543,0.22341848005195591,1.0,-0.7387413501841662
Cerebellum_6_R,0.5572597101957892,-0.6696536530800631,0.8331819778541641,-0.1485968771164758,-0.6970765109495826,0.6245229730356343,-0.47132393430288194,0.11631633951812906,0.12348871009024384,0.07674772018495347,0.1966227859989996,-0.7690527999243407,0.1508632922380424,-0.7387413501841662,1.0
