,Cerebellum_6_R,Thal_MDm_L,Lingual_L,Cerebellum_9_R,Cerebellum_6_L,Thal_MGN_L,Frontal_Sup_Medial_R,Cerebellum_4_5_R,Caudate_L,Thal_PuI_R,SN_pc_L,Temporal_Mid_R,Frontal_Mid_2_L,Occipital_Mid_L,Amygdala_L,Raphe_D,ACC_pre_L,OFCmed_L,Frontal_Med_Orb_L,Vermis_1_2,SN_pr_L,Fusiform_L,Cerebellum_9_L,Thal_PuM_R,SN_pr_R
Cerebellum_6_R,1.0,-0.1744344834762884,0.3794909165332164,-0.49402271889153765,0.1102705451049316,-0.5117271994759737,-0.2657352710803525,0.22101215529689733,-0.28044137751670917,-0.3111741642874832,-0.1497303908699214,0.7479360671604175,-0.42715901453997884,0.37765200409283833,-0.7281444249551688,-0.10329195970454845,-0.19841999897431042,0.06263918166450208,-0.21611962857031936,0.5385937380651686,-0.013565284183378629,-0.19777815441687246,-0.3463428485734755,0.3329606780769857,0.29469776640820705
Thal_MDm_L,-0.1744344834762884,1.0,0.36434546987851685,0.3224376708877181,-0.012317460486959716,0.5033820350399811,0.24590782218133594,0.6035292165775873,0.4084651485801476,0.5370033702977984,0.4565461518058806,-0.16568175182080383,0.4723297948633421,-0.1631813912064334,0.1483530337790045,0.2919753880833184,-0.03600201372667259,0.06798072859779508,0.03733051415370215,0.20714021066071658,0.4671153604315277,0.5320230251529043,0.380115551733921,0.6273964045580063,0.20675475343473115
Lingual_L,0.3794909165332164,0.36434546987851685,1.0,-0.34883156272426596,0.2609321633709086,-0.07255377013995444,-0.08517698035528724,0.44314016459920846,-0.050602838676081646,0.03199547468260575,0.23968811889690594,0.33937791404513584,0.026095706305514846,0.07413148096086349,-0.3326893660473052,0.044326278601424116,-0.34255829647754277,0.0012933608813278698,-0.140502439799864,0.6497840391455767,0.2379748956169383,0.6424265318297223,-0.07522680691615617,0.5060833781394015,0.1339399620963524
Cerebellum_9_R,-0.49402271889153765,0.3224376708877181,-0.34883156272426596,1.0,-0.1500207735991491,0.5057806149952061,0.17497559209865907,0.0356140600124168,0.5643341593619022,0.3229282976616918,0.23365705843984433,-0.3321215090959547,0.48731214011485297,-0.21204172174341532,0.5511658119268644,0.5180348207778928,0.2984092338615427,0.15622969033257408,0.15733631012078284,-0.5610199215298415,0.41954834317280676,-0.00902241661721674,0.7620887661345284,0.046811838339863805,0.036286962145382455
Cerebellum_6_L,0.1102705451049316,-0.012317460486959716,0.2609321633709086,-0.1500207735991491,1.0,-0.261550995644465,0.03773756838342478,0.03152781200131738,-0.09137088917132524,-0.21045023217241576,0.0015761909353390062,0.07997704184034418,-0.030215901612678675,0.032604664327129405,-0.12286502847237149,-0.10486743663182077,-0.2686386245126037,-0.3611474782385813,-0.19646390434931363,0.16045126378402735,0.05062070288995729,0.025847349016213928,-0.08568044587032235,-0.0415774075845781,0.019738544206463142
Thal_MGN_L,-0.5117271994759737,0.5033820350399811,-0.07255377013995444,0.5057806149952061,-0.261550995644465,1.0,0.09311740182775237,0.27596340131228875,0.45606274814318376,0.48171388653918806,0.25484109035666797,-0.30052162970783775,0.3235789014219487,-0.18811233519074394,0.47808862911331623,0.37903838202339524,0.005618241701369025,0.11546692354293236,0.14879360996942487,-0.18019617518417724,0.18473024493387002,0.34999653544065923,0.3391869663381048,0.2964171537952546,0.10544237376075632
Frontal_Sup_Medial_R,-0.2657352710803525,0.24590782218133594,-0.08517698035528724,0.17497559209865907,0.03773756838342478,0.09311740182775237,1.0,0.045637907904685186,0.2826785590921172,0.31481471461010235,0.4290316965496577,-0.26991112065029293,0.7535347733275551,-0.39349622429283504,0.40909226052364817,0.14834476447125508,0.5509366563888253,0.22781670615486713,0.25616561196239224,-0.17530499054639126,0.3539988045801244,0.27409714485591413,0.25648078161306187,-0.046565368181963517,-0.296571706076669
Cerebellum_4_5_R,0.22101215529689733,0.6035292165775873,0.44314016459920846,0.0356140600124168,0.03152781200131738,0.27596340131228875,0.045637907904685186,1.0,0.08856604673016374,0.2366444280595162,0.18927621615601264,0.1193701543359293,0.1014653853497125,0.03327068117497786,-0.390965395216125,0.17622497482977803,-0.26230252867104514,-0.12174794270499666,-0.2652904647413646,0.6518674909710219,0.3128113512009881,0.48722052405627025,0.10308674556106351,0.729433270046001,0.5248948924695949
Caudate_L,-0.28044137751670917,0.4084651485801476,-0.050602838676081646,0.5643341593619022,-0.09137088917132524,0.45606274814318376,0.2826785590921172,0.08856604673016374,1.0,0.5305165070326872,0.5187204279385456,-0.17672894260095512,0.6039253593659101,-0.15609619866188817,0.6259645127658484,0.44527294894079517,0.5175592189555184,0.06155484485372453,0.130399523393146,-0.42870697448153805,0.5804478599132188,0.16369410343825305,0.5317460546062877,0.19902152695877784,-0.07770622298652953
Thal_PuI_R,-0.3111741642874832,0.5370033702977984,0.03199547468260575,0.3229282976616918,-0.21045023217241576,0.48171388653918806,0.31481471461010235,0.2366444280595162,0.5305165070326872,1.0,0.48202475153159974,-0.08774702865297039,0.5034055269693491,-0.14596775787952485,0.4459228115754144,0.24132118991433055,0.20926484732036316,0.08126464492421495,0.13172545087048748,-0.14313263863118114,0.3029738884609615,0.26131805608249087,0.3009788247626783,0.3949152719597117,0.026773692183717245
SN_pc_L,-0.1497303908699214,0.4565461518058806,0.23968811889690594,0.23365705843984433,0.0015761909353390062,0.25484109035666797,0.4290316965496577,0.18927621615601264,0.5187204279385456,0.48202475153159974,1.0,-0.17573241893756908,0.6020741166887486,-0.181518214221176,0.36350647064494307,0.23403655227226364,0.3313403127492838,0.144551437866821,0.14701450038152492,-0.07948594454210045,0.607026746535726,0.41152444195786636,0.3128589011761924,0.24912554334612555,-0.12243249991961096
Temporal_Mid_R,0.7479360671604175,-0.16568175182080383,0.33937791404513584,-0.3321215090959547,0.07997704184034418,-0.30052162970783775,-0.26991112065029293,0.1193701543359293,-0.17672894260095512,-0.08774702865297039,-0.17573241893756908,1.0,-0.34027064664417705,0.27613391902627926,-0.4598983450717904,0.08480599582372103,-0.2567666781485533,0.09085879157726996,-0.22174945379756675,0.33211968939445424,-0.14995005579429696,-0.18154836257790294,-0.2745058773421254,0.3787110115282076,0.37437731855832257
Frontal_Mid_2_L,-0.42715901453997884,0.4723297948633421,0.026095706305514846,0.48731214011485297,-0.030215901612678675,0.3235789014219487,0.7535347733275551,0.1014653853497125,0.6039253593659101,0.5034055269693491,0.6020741166887486,-0.34027064664417705,1.0,-0.39209740744872584,0.6173508749343911,0.37880957321920755,0.5722833192660778,0.2854990353375481,0.35723328361843587,-0.33625362947930776,0.574075928166744,0.39463807728158773,0.49763678439749637,0.06322051903892965,-0.31166631194683025
